Agargaon,23.778,90.379
Airport,23.851,90.408
Badda,23.780,90.425
Banani,23.793,90.404
Bangshal,23.713,90.407
Baridhara,23.803,90.414
Bashundhara,23.815,90.425
Bijoynagar,23.736,90.412
Chawk Bazar,23.715,90.395
DOHS Mohakhali,23.778,90.406
Demra,23.699,90.474
Dhanmondi,23.746,90.376
Elephant Road,23.743,90.385
Eskaton,23.749,90.407
Farmgate,23.758,90.389
Gabtoli,23.777,90.343
Green Road,23.751,90.382
Gulshan-1,23.780,90.414
Gulshan-2,23.792,90.407
Hatirpool,23.744,90.392
Hazaribagh,23.739,90.361
Islampur,23.709,90.404
Jatrabari,23.710,90.435
Kakrail,23.735,90.413
Kallyanpur,23.778,90.358
Kamalapur,23.732,90.426
Karwan Bazar,23.751,90.395
Kazipara,23.793,90.370
Keraniganj,23.716,90.335
Khilkhet,23.832,90.420
Kuril,23.820,90.420
Lalbagh,23.719,90.388
Malibagh,23.751,90.420
Mirpur-1,23.804,90.355
Mirpur-10,23.806,90.368
Mirpur-12,23.822,90.365
Moghbazar,23.754,90.404
Mohammadpur,23.757,90.360
Mohakhali,23.777,90.401
Motijheel,23.733,90.417
Nakhalpara,23.770,90.395
New Market,23.734,90.381
Nikunja,23.830,90.410
Pallabi,23.829,90.366
Paltan,23.736,90.410
Panthapath,23.751,90.387
Postogola,23.704,90.431
Ramna,23.735,90.404
Rampura,23.763,90.422
Sadarghat,23.708,90.406
Science Lab,23.741,90.383
Shahbagh,23.739,90.395
Shewrapara,23.790,90.365
Shyampur,23.689,90.428
Sutrapur,23.710,90.410
Tejgaon,23.763,90.391
Uttara-1,23.875,90.379
Uttara-3,23.867,90.392
Uttara-7,23.875,90.402
Wari,23.720,90.413
Abdullahpur,32.640,73.307
Narayanganj,23.614,90.503
Gazipur,23.998,90.422
